@relation autores

@attribute texto string
@attribute class-att {franciscoz, fabiolag, fernandob}


@data
"Para tratar de explicar el asunto cito algunos ejemplos del maestro Rodolfo Félix, uno de los mejores penalistas de este país y exprocurador de la CDMX. El no evitar que el nieto tome las pistolas se equipara a quien deja las llaves de un coche y un niño las toma, acelera y mata a alguien. Quien deja las llaves, como quien deja las pistolas, no es garante, no existen en los delitos de comisión por omisión los deberes de garantía general.", franciscoz
"Otro caso es el de un vigilante de un comercio al que de noche se le meten a robar y no lo evita, el vigilante no roba, no es responsable del robo, como no es responsable el padre que no interviene para que su hija no sea violada. En la comisión por omisión existe un deber que actúa para impedir que se produzca un resultado, de tal forma que quien tiene el deber no actúa y el resultado se produce, se le imputa como si él hubiera causado el mismo de forma activa. Por más mensajes que descubrieron en el celular de José Ãngel -€œN-€, en el sentido de que él había facilitado lo que pasó, no me parece que cambie lo anterior. No pongo en duda que el abuelo pueda tener muchas cuentas pendientes, pero ya quiero ver el ridículo del gobierno de Coahuila si un juez, porque la imputación está mal hecha, libera al abuelo, a quien le quieren cargar la culpa de la violencia que compartimos diario en todo el país.", franciscoz
"Por cierto, muy preocupado por la propuesta de reforma penal que ha llegado al Senado de la República. Entre varias de las inconsistencias, es la de acabar con la transparencia que se ganó con la grabación y la apertura de las audiencias. Se propone registrar las audiencias por escrito como en el sistema de las cavernas del que vamos saliendo. Otra figura inaceptable es la conformación de un tribunal especial para enjuiciar a jueces y magistrados, regresando al sistema de castas que tanto daño hizo a nuestro país. Cuotas y cuates para juzgar a quien tiene la responsabilidad de aplicar la ley y que pudo fallar o sucumbir ante los estímulos para el proceso.", franciscoz
"La tragedia vivida en Torreón es dolorosa, para la Comarca y para todo el país. Me parece que la repartición de culpas entre la familia del autor, de apenas 11 años, los padres de familia del Colegio Cervantes, los videojuegos y las redes es, como siempre, mezquina. Los responsables de esta masacre, que al parecer fue controlada en parte por el oficio de la maestra que perdió la vida, somos todos. De una sociedad que ha permitido que las estúpidas redes sociales controlen qué es bueno y qué es malo, quién hace bien y quién mal, que juzga de forma inmediata las acciones y opiniones de todos y que sentencia al escarnio a chicos y grandes a conveniencia de algunos que entendieron cómo usar a los -€œestúpidos útiles-€, que, como focas, aplauden o gimen para convalidar una serie de cosas que ellos ni entienden ni imaginan en su fondo real.", franciscoz
"De un sistema educativo con una autoridad ausente, que está más interesada en la grilla que en mejorar las condiciones de los educandos. De unos padres que hoy están más preocupados de luchar por los derechos de sus hijos, en contra de salvaguardar la vida de sus hijos. De unos medios que estamos muy preocupados de llevar puntualmente la información de la violencia, que hemos llegado a normalizar la violencia, que mil veces repetimos la muerte como si fuera un montaje con efectos especiales de Hollywood. Justificando los borbollones de sangre en la normalidad informativa. Los niños de hoy, sean de la generación de Calderón o de la de Peña, que, por cierto, me parece un despropósito englobar la enfermedad mental por sexenios, han visto su primer muerto al tiempo que acudieron al jardín de niños, sino es que también tuvieron que ser instruidos a proteger su vida en el suelo mientras su maestra canta para tranquilizarlos. En mi caso, y creo que es el caso de los integrantes de mi generación, un muerto era un asunto verdaderamente excepcional, un accidente que, por mala jugada del destino, pudimos presenciar o, en mi caso, por mi formación de abogado en el antiguo Semefo.", franciscoz
"Lo ocurrido en Torreón, imitación o no de la masacre de Columbine, está destinado a volver a pasar, si el análisis es simplista y tendiente a irresponsabilizarnos, a juzgar a la ligera y repartir culpas. En un país en donde mueren 98 mexicanos a diario, de esos cinco niños que pierden la vida de la manera más sádica, culpar a los abuelos, a la negativa de los padres al operativo Mochila Segura, a la escuela o cualquier otra obviedad es una tontería que nos condena a tener que volver a reseñar este capítulo tristísimo. Como corolario, si creen que revisando la mochila se resuelve el tema, vayan preparando aparatos equivalentes a los que se usan en los aeropuertos para revisar a los chavos como si de terroristas se tratara.", franciscoz
"Por otro lado, vale la pena mencionar a los gobernantes que hacen su trabajo bien y es reconocido por los ciudadanos. El caso más impresionante es el de Yucatán, Mauricio Vila, que, combinando buenos resultados en los dos temas que más importan a los mexicanos, seguridad y economía, se sitúa en el primer lugar de aprobación, con un contundente 78.8%, según Consulta Mitofsky (9 de enero de 2020). De la misma forma, esta medición marca una aprobación del 70% al Presidente de la República al término de su primer año de gobierno, por arriba del 65% de Calderón en el mismo periodo.", franciscoz
"Las encuestas son un instrumento, una fotografía del momento, no son determinantes para nada, pero, sin duda, deben ser una herramienta para la toma de decisiones. Siguen, del mismo modo, de acuerdo con Mitofsky, en buena percepción ciudadana el gobernador de Sinaloa, Quirino Ordaz, y el de Baja California Sur, Carlos Mendoza Davis, con 62.9 y 61.4, respectivamente. No le va mal a la jefa de la CDMX, que está apenas por debajo de los mandatarios mencionados.", franciscoz
"EN EL ESTRIBO", franciscoz
"Ha iniciado la Feria de León 2020. La mejor feria de México. Y debemos enfatizar que, sin duda, es la más familiar de todo el país, pues está pensada para todas las edades, en donde, por 70 pesos, se puede disfrutar de todos los juegos mecánicos, todas las veces que se quiera y, para proteger a todos los que disfruten de esta diversión, se cuenta con la certificación más estricta para que los juegos no tengan ninguna descompostura y mucho menos pongan en riesgo la vida e integridad de quienes los usan. Esta certificación es, ni más ni menos, que la de la Asociación de Parques de Diversiones Internacionales (IAAPA). Esta gran Feria de León 2020 también llevará a los mejores cantantes mexicanos, tendrá eventos culturales y, en síntesis, sin lugar a dudas, pinta para ser la mejor feria de todas.", franciscoz
"Me pregunto, de verdad y con sinceridad: -¿en qué momento los mexicanos nos convertimos en suicidas? En estos seres en donde creemos que las lágrimas del de junto tienen color e ideología, que los borbollones de sangre son menos importantes si son del equipo de enfrente. Es más importante para todos los actores políticos que el de enfrente falle a que el país y sus habitantes tengan algún beneficio.", franciscoz
"La desigualdad sigue siendo odiosa y asquerosa, pero el dolor y el olvido del pobre es poco importante mientras eso afecte a los chairos, a los pejezombies, a los fifís o a quien sea que piense diferente.", franciscoz
"Las redes sociales se han vuelto un auténtico fetiche, en el cual un grupúsculo de imbéciles siente un placer infame cuando alguien cae en desgracia, cuando la jauría de imbéciles útiles y de bots pagados destaza a alguien. Como hienas, riéndose de la desgracia, con las fauces manchadas de sangre y hambrientas de más carne, ávidos de la equivocación ajena para arrojarse sobre la carroña, para ver qué imbécil es el más mordaz o el más inquisitivo o quién maneja el sarcasmo más cruel.", franciscoz
"De verdad, -¿en qué demonios nos hemos convertido? Lo único que me queda claro es que vamos en el camino de un suicidio colectivo. En donde poco importa la moral, el bien común, el de junto, el dolor o hacer mal a los demás.", franciscoz
"La lógica a la que atendemos es la de priorizar nuestros intereses a los de nuestro grupo y a nuestro credo político. Nuestros políticos no son más corruptos que antes, pero tampoco son un dechado de honradez.", franciscoz
"Yo no me explico en qué momento renunciamos a usar la lógica y el raciocinio. -¿En qué momento perdimos nuestra capacidad de análisis y nos convertimos en el instrumento de unas redes sociales y de la peorcracia?", franciscoz
"Con dolor, lo digo claramente, en este país, la forma de gobierno es la peorcracia, el gobierno de los perores por los peores motivos. Y no me malinterpreten o pueda yo levantar la furia de fifirios y zombianos, no ha cambiado nada, porque la mayoría de integrantes del actual gobierno, como en el pasado, son los mismos políticos de siempre. Esos que buscan tener un mejor nivel de vida, cuando sus capacidades no dan para ello.", franciscoz
"Me quedó muy marcada la respuesta de Frederik de Klerk, expresidente de Sudáfrica y Premio Novel de la Paz que, compartido con Mandela, en la cumbre de Yucatán, que tuve el honor de moderar, cuando le inquirí qué pasaba con los gobernantes de ahora, tan lejanos a los estadistas que, como ellos, pudieron desmantelar el apartheid. Su respuesta fue clara y contundente: -€œLos políticos deben entender que su misión es servir a la gente, no sirven a una ideología ni a un grupo cuando están en el gobierno-€.", franciscoz
"No obstante, cuantos ataques y distorsiones puedan existir en las redes y cuanta hostilidad puede haber entre grupos antagónicos, no pienso renunciar a mi lógica y, sobre todo, a ser mexicano. No renunciaré a criticar, cuando así sea necesario, las acciones que considere inapropiadas del Presidente, pero tampoco voy a renunciar a aplaudir las que sean un acierto. No pienso acusar, sin pruebas, a los gobiernos pasados, pero tampoco voy a subirme a legitimar acciones manchadas de corrupción. No pienso hacerme fifí, no pienso volverme AMLOver. No voy a renunciar a ser mexicano, a amar a México antes que probar mi punto de vista en las redes, de aniquilar con mi odio a los errores o criterios de otros. Se nos olvidó ser mexicanos, se nos olvidó amar a México, se nos fue entre las manos el cuidarnos entre ciudadanos con tal de apabullar al otro para dejar como idiota al Presidente o para exculpar de forma acrobática los fallos del ciudadano.", franciscoz
"Quiero que seamos mexicanos, quiero que, sobre las ideologías, entendamos que este país atraviesa uno de sus peores momentos y que la sangre de 98 mexicanos que pierden la vida sólo trae dolor y no pensamiento político.", franciscoz
"La detención de Genaro García Luna es sin duda una bomba que me parece no acabamos de dimensionar.", franciscoz
"Es de sobra conocido que García Luna fue el artífice de la AFI y posteriormente fue el secretario de Seguridad Pública Federal. En su tiempo en la AFI fue acompañado por dos muy buenos operadores, el ingeniero Facundo Rosas y Luis Cárdenas Palomino. Fue con ellos como se logró la detención de peligrosos secuestradores como Daniel Arizmendi apodado El Mochaorejas. Un mérito innegable fue la transformación de la otrora Policía Judicial Federal, institución llena de rateros, en una agencia de investigación que utilizaba tecnología de punta como el reconocimiento de voz y el procesamiento de datos por medio de agentes de gabinete que tenían un nivel de escolaridad de por lo menos licenciatura.", franciscoz
"Me parece muy importante resaltar, que como en Estados Unidos, aquí en México debería operar el derecho fundamental de la presunción de inocencia, por el cual no podríamos condenar por adelantado a García Luna, paradójicamente esta presunción fue la que él mismo le negó a la francesa Florence Cassez y a los integrantes de la banda de secuestradores denominada Los Zodiaco, encabezada por Israel Vallarta; de todo mundo es conocido el montaje televisivo que derivó finalmente en la liberación de la francesa, por estimar la SCJN, que se le presentó como culpable en televisión nacional y no había un juez en el país que pudiera ofrecerle un proceso justo.", franciscoz
"Me resulta un poco difícil creerle a Felipe Calderón, exjefe de García Luna, quien ha dicho que nunca supo de una conducta indebida de su subordinado. Todo es cuestión de recordar como el mismo Presidente decidió remover de su cargo al encargado del Ã“rgano de Control Interno de la Secretaría que encabezaba el hoy detenido en Dallas, después de que le documentó algunas irregularidades que sería impensable que el Presidente no supiera. La obstinación de Calderón respecto a proteger a García Luna, incluso lo llevó a un enfrentamiento con el ministro Arturo Zaldívar, actual presidente de la Corte, a quien le quería dar órdenes olvidando la independencia del Poder Judicial y queriéndole cobrar el -€œfavor-€, porque él lo llevó a la Corte.", franciscoz
"El testimonio que llevó a la detención del exsecretario viene de un testigo protegido identificado como Púrpura, quien al parecer sería El Rey Zambada, que fungía como contador y principal operador de El Mayo Zambada.", franciscoz
"El mismo testigo manifiesta que se reunió en dos ocasiones con el detenido, dándole 3 y 5 millones de dólares para que dejaran operar a su cártel. En el mismo sentido lo escribe Anabel Hernández en su más reciente libro El Traidor, una historia que narra a la limón, con los textos que el abogado Gaxiola le entregó escritos por el puño y letra de El Vicentillo, el hijo de Zambada, donde él mismo relata los sobornos entregados.", franciscoz
"Hay que recordar que en esos testimonios también se menciona a Gabriel Regino y al mismo expresidente Enrique Peña Nieto. Habrá que ver hasta dónde llegan las indagatorias del gobierno de EU y lo decididos que estén en procesar a personajes de alto nivel como el hoy-  requerido por la Corte del Este de Brooklyn, García Luna.", franciscoz
"Por otro lado, difícil pacificar al país cuando los encargados de hacerlo estuvieron involucrados, presuntamente, en casos como éste.", franciscoz
"Interesante lo que ha declarado Alejandro Desfassiaux, presidente del Grupo Multisistemas de Seguridad Integral, al respecto del robo hormiga. Dio a conocer cifras sobre el monto que este tipo de actos pueden alcanzar. De acuerdo con sus datos serían 13 mil millones de pesos, lo que se traduciría en el 15 por ciento del inventario de una empresa, mermando hasta el 30 por ciento de sus ingresos, siendo un flagelo padecido por el 28 por ciento de las Pymes.", franciscoz
"Resulta claro que la conducta quizá no tenga una alta peligrosidad, pero sus consecuencias son terribles para la economía-  local.", franciscoz
"En un sólo acto lo bueno y lo malo de las redes sociales. En un principio tardé en encontrar a una mujer que estaba perdida. En el segundo siguiente se presentó la mezquindad para atacarla con crueldad inusitada... Reconozco las redes sociales como un extraordinario instrumento para la seguridad y para la búsqueda de personas que pueden, en algún momento, estar desaparecidas, pero también reconozco las redes como un espacio asqueroso de linchamiento.", franciscoz
"El caso de Karen, la mujer, la chava, la niña o la madre de tres que desapareció, ha sido una absoluta radiografía de lo que sucede principalmente en Twitter. En un principio no recordaba la solidaridad de toda la gente tratando de encontrarla porque al minuto siguiente ya estaban los insultos que la calificaban como una auténtica prostituta.", franciscoz
"En este momento me pregunto si en las redes sociales cualquier execrable patiño, cualquier opinador con tendencias pederastas, puede juzgar a diestra y siniestra a alguien que, evidentemente, cometió un error. A mí me queda claro que el caso de Karen le incumbe a ella y a su familia; le incumbe a su pareja, le incumbe a su entorno, pero a nadie más. Quiénes somos nosotros, quién es el puto Twitter para tratar de juzgar o entender las razones de una persona que decidió irse de peda y después hacer lo que se le dio su gana como el adulto que es.", franciscoz
"Si Karen tiene que dar explicaciones se las debe a su familia, a su madre que estaba muy preocupada, a su hermano que fue quien subió el mensaje a las redes sociales y, quizá, a sus hijos. A los demás qué nos da derecho a opinar sobre el asunto. Haber retuiteado el mensaje de ayuda de su familia no nos da derecho a opinar. Como si cuando donamos a la Cruz Roja tuviéramos el derecho de decirle al conductor de la ambulancia cómo manejar o al paramédico cómo atender una emergencia. -¿Cuando ayudamos al teletón tenemos derecho a decirle al Chobi Landeros cómo darle terapia a un niño con discapacidad? El altruismo es un acto hermoso, es un acto desinteresado, pero no nos da derecho a absolutamente nada. Menos a opinar de la vida de alguien más.", franciscoz
"Yo no entiendo de qué manera vamos a luchar contra los géminis y Dios, cómo vamos a luchar, como país, en contra de la violencia hacia las mujeres cuando, por un error inundamos las redes sociales de adjetivos negativos. Lo menos que me encontré es que Karen era una puta. Que a sus 30 años no se puede tener un error así. -¿Quién es el juez que decide a qué edad se pueden cometer errores? -¿La soberbia desde la que escribimos en Twitter, desde la que juzgamos a personas que ni siquiera conocemos?", franciscoz
"-¿Es justo que podamos meternos en la vida de una familia para acabar con ellos, para exponerlos ante todo el mundo? En las redes sociales también-  hubo muestras de bondad pero, reitero, jamás ayudar nos da derecho a meternos en la vida de una familia, m", franciscoz
"Así no vamos acabar con la violencia en contra las mujeres. Pude ver, además, que gran parte de las que atacaban a Ana Karen eran mujeres. Las mujeres convertidas en jueces de las propias mujeres. Las mujeres que pueden a darle en la madre al Ãngel de la Independencia, que pueden quemar una librería Gandhi, que pueden acabar con la rectoría de la UNAM, pero que también pueden deshacer a su propio género", franciscoz
"Lo he dicho 1000 veces y lo repito, Twitter se ha convertido en el escusado en donde todo el mundo defeca sus frustraciones, en donde actores políticos han descubierto cómo controlar este mercado y han contratado mercenarios y mercenarias que venden su opinión para acabar con reputaciones sencillamente porque no tienen dinero.", franciscoz
"Lamento profundamente que un instrumento tan poderoso este a merced de gente sin escrúpulos, de tontos inútiles que son presa del pensamiento disparatado de mezquinos que se venden sin ton ni son por un interés específico.", franciscoz
"En el estribo", franciscoz
"Sigo sosteniendo y apoyando la idea de mi amigo Alejandro al respecto de que es urgente un colegio nacional de policía, en el cual se pueden homologar las decisiones y los procedimientos y el actuar de la Guardia Nacional, de los policías municipales y los policías estatales.", franciscoz
"Es claro que la parte más flaca de la seguridad y en donde se encuentra el filón para que los grupos del crimen organizado pueden actuar es en la colusión de las policías municipales y estatales. Mientras eso no se corrija, cómo dice el presidente de multisistemas empresariales de seguridad, no hay nada qué hacer y los índices seguirán subiendo.", franciscoz
"Resulta paradójico que en una administración que lucha en contra de la corrupción y del tráfico de influencias siga permitiendo que un grupo se enriquezca a costillas de contratos otorgados en el sexenio de Peña. Le cuento otra triste historia, de ésas que se repiten una y otra vez en nuestro país. La historia viene desde el hoy investigado Gerardo Ruiz Esparza, exsecretario de Comunicaciones y Transportes del sexenio anterior.-  Resulta ser que le fue asignado al zacatecano José Aguirre y a su empresa StarGo, el proyecto de conectividad satelital denominado México Conectado, pero da la casualidad que la fichita de Ruiz Esparza es socio del mencionado empresario en diversos proyectos carreteros al norte del país.", franciscoz
"En el caso de StarGo y el otorgamiento de este ambicioso proyecto y monumental fraude a la nación se orquestó de la siguiente forma: al ser Telecomunicaciones de México un organismo descentralizado dependiente de la Secretaría de Comunicaciones, de conformidad con la lista que publica la Secretaría de Hacienda, por mandato del artículo 12 de la Ley Federal de las entidades paraestatales y que fue incluido en el Diario Oficial de la Federación con fecha 15 de agosto del 2019, la SCT puede otorgarle discrecionalmente a Telecomm Telégrafos proyectos de conectividad y telecomunicaciones.", franciscoz
"Al más puro estilo de la anterior administración, los alegres compadres Ruiz Esparza y Aguirre se inventaron una figura de intermediario en el servicio para poder meter a la empresa StarGo sin mediar licitación. Así, la empresa del zacatecano se hizo del proyecto 12k, que es derivado del proyecto E-México y 11k, los cuales nacen desde el 2000 cuando se instruyó por parte de Fox al secretario del ramo, Pedro Cerisola, para que la revolución de la información y las comunicaciones tuviera un carácter nacional y se redujera la brecha digital en todo el país, hasta alcanzar a las comunidades con mayor índice de marginación. Esa directriz no incluía que se enriqueciera una empresa, su dueño, ni a Ruiz Esparza, prestando un servicio deficiente y torciendo la ley, como lo hicieron para que StarGo fuera el ganón del proyecto.", franciscoz
"Para justificar el entramado anterior, les bastó a este par de pillos la realización de un estudio de mercado. Pero eso no es todo, en julio del 2018, se venció el contrato del 10K, que es el servicio de internet proporcionado a escuelas rurales y consultorios médicos de zonas vulnerables. En ese entonces estaba como responsable de la CSIC (Coordinación de la Sociedad de la Información) Javier Lizárraga quien, por cierto en su momento, fue responsable del programa TDT, referido a la Transición a la Televisión Digital Terrestre, que entregó entre 2014 y 2016, 10. 2 millones de televisores digitales en hogares de escasos recursos que definió la entonces Sedesol y que estuvo plagado de irregularidades y fraudes utilizando a quienes menos tienen.", franciscoz
"Dicho funcionario fue el artífice de los famosos estudios de mercado, que no eran más que un engaño para justificar la asignación de contratos de conectividad a las empresas StarGo del mencionado José Aguirre, Ubix socio de Visat, Eleara de Jorge Villarreal y Ai Telecom de Orlando Castillo.", franciscoz
"Quien ha tratado de enderezar este entuerto de corrupción es la subsecretaria Salma Jalife, al no firmar la renovación del contrato entre la SCT y Telecomunicaciones de México por las irregularidades de origen del proyecto. Pero en contra de los buenos propósitos de la subsecretaria y en contubernio entre el anterior director general, Jorge Juraidini, y el director técnico de la actual administración de Telecomm, Mauricio Ãvila, él, de manera unilateral, decidió firmar el contrato para seguir beneficiándose.", franciscoz
"Sin lugar a dudas el principal operador de Aguirre en el organismo descentralizado es Ãvila, sobre quien pesan acusaciones de favorecer y seguir las instrucciones del empresario dueño de StarGo. Resulta increíble que al día de hoy, las empresas que entraron a prestar estos servicios de forma ilegal y fraudulenta sigan activas, dando un servicio deficiente y cobrando del erario público. En este momento en donde se encuentra el nuevo gobierno investigando los negocios y el cinismo de Gerardo Ruiz debería cesar de inmediato la relación contractual con StarGo, Ubix, Eleara y Ai Telecom, y proceder a investigarlas. De nada sirve una cruzada decidida en contra de la corrupción, si los anteriores afines al secretario de los socavones, siguen beneficiándose de las operaciones irregulares que celebraron al amparo de un funcionario cuestionado. Y sin duda, cabe recalcar, que el servicio que prestan es el principio de una verdadera igualdad entre todos los mexicanos, que sin el acceso a las redes se encuentran muy atrás en progreso y educación.", franciscoz
"EN EL ESTRIBO: Desde este espacio, y estando en Quintana Roo, le mando un abrazo solidario a todos los integrantes de la Secretaría de Seguridad Pública de Quintana Roo por el homicidio del comandante Trejo del Mando Ãšnico de Tulum, a su familia y a la de sus escoltas, que espero se recuperen, y a mi querido Alberto Capella, jefe de la Policía. Desde aquí mi respaldo, el de millones de mexicanos que les reconocemos su entrega y sacrificio, por favor no cesen en su encargo y sepan que no están solos.", franciscoz
"Muchos temas, en esta convulsa República enfrentada. El nuevo escándalo favorito de las crueles e insensatas redes sociales fue el mensaje que desde la cabina de pilotos dio al presidente Andrés Manuel López Obrador, Rafael Paulo Bolio, capitán de Aeroméxico, en el que conminaba a los pasajeros a que convencieran al Presidente a seguir con la construcción del aeropuerto de Texcoco.", franciscoz
"Consciente de los oficiosos críticos del Presidente, no puedo más que condenar el uso del sonido de un avión en pro o en contra de un proyecto que, lejos de ser de infraestructura, se volvió político. Es de amplio dominio que los anuncios que se hacen en un avión comercial tienen que ver con la seguridad y la información al pasajero. Por lo mismo no imagino un capitán de una aeronave increpando a Guillermo Ãlvarez por la mala racha del Cruz Azul o el reclamo al seleccionador nacional por la falta de resultados.", franciscoz
"En lo particular, lo he dicho claramente, me parece un grave error cancelar la construcción del aeropuerto de Texcoco. Reitero, entiendo la decisión del Presidente de cerrar la llave a recursos interminables a sus enemigos que se repartieron, cuál piratas con patente de corso, los negocios y terrenos relativos al aeropuerto de Texcoco. Pero, por otro lado, lamento que un capitán con uniforme y una nave con la identificación de una empresa haga este tipo de cosas que, sin duda, compromete a la línea aérea en la cual trabaja, pues al usar el micrófono pudiera pensarse que es la postura de la empresa y no la postura de un capitán que, aclaro, también es respetable en sus ideas políticas, pero no era el lugar para expresarlas. Me parece aún más grillete el gesto de publicar en redes sociales la carta que por procedimiento le mandó Aeromexico.", franciscoz
"Reitero que puedo comulgar con el punto de vista del capi Bolio, pero no puedo aceptar que deje a su empresa en posición tan incomoda. Creo que en una aeronave debe reinar-  la seguridad y me parece que esas declaraciones la vulneran.", franciscoz
"En otros temas, me es importante citar lo que el propio-  Andrés Manuel ha dicho de lo escrito por el presidente de Multisistemas Empresariales de Seguridad, Alejandro Desfassiaux, en donde explica que, desgraciadamente, estamos en los primeros lugares de criminalidad en el mundo, debido a una política perniciosa de educación y abandono a la producción del campo y la atención a los jóvenes. Lo que ha dado como resultado que del 2006 al 2015 nuestro país tenga registrado un millón de víctimas de violencia, con cerca de 175 mil homicidios y casi 27 mil desaparecidos. Esto lo escribió Desfassiaux en la revista Mundo Ejecutivo.-  Sin duda la realidad-  nos está alcanzando, no hay para dónde hacernos y la solución del asunto no ha tenido una estrategia exitosa.", franciscoz
