nuevos,autores
"Los consejeros del INE hicieron cálculos para reducir el costo de la consulta de revocación de mandato —de 3,830 a 3,306.73 millones de pesos— además realizaron ajustes para obtener 64.4 millones de pesos que se suman a los 1,503 millones ya disponibles, pero aún les faltan 1,738.9 millones de pesos que solicitaron formalmente a la Secretaría de Hacienda el viernes pasado.",Fabiola Guarneros Saavedra
"El instituto —mediante oficios— consultó a Talleres Gráficos de México la posibilidad de que la impresión de la documentación electoral y boletas sea gratuita o a menor costo; preguntó a la Comisión Federal de Electricidad la posibilidad de que provea el servicio público de distribución de energía y las plantas de generación de energía eléctrica, bajo la modalidad de comodato.",Fabiola Guarneros Saavedra
"Al Instituto Mexicano del Seguro Social le consultó la posibilidad de brindar primeros auxilios proporcionados por personal de enfermería, sin costo, para dar ese servicio en favor de la protección a la salud de las personas que desarrollarán actividades en las Juntas Ejecutivas Locales y Distritales y funcionarios de casilla.",Fabiola Guarneros Saavedra
"¿Le dice algo Lomas Taurinas? ¿Recuerda la melodía o la tonada de La Culebra? ¿Reconoce el nombre de Diana Laura? ¿Sabe quién es el padre y el hijo de Colosio? Por lo menos 60 millones de mexicanos responderán que sí, pues en México hay 15 millones de adultos mayores a 61 años y alrededor de 51 millones de ciudadanos entre 27 y 60 años de edad, según el Censo 2020 del Inegi.",Fabiola Guarneros Saavedra
"Mientras el Revolucionario Institucional sigue en la depresión (creo que la dirigencia del partido está en la etapa de la negación), la encuesta de los presidenciables publicada el 2 de diciembre da la sorpresa: Ebrard 31%, Sheinbaum 30%, Luis Donaldo Colosio Riojas 27%; Ricardo Anaya 16%, Ricardo Monreal 12%, Samuel García y Alfredo del Mazo 10% cada uno.",Fabiola Guarneros Saavedra
"Las organizaciones de la sociedad civil han hecho su parte, no se quedan quietas. Ahí está la labor que cada una hace desde su trinchera como Vida Independiente, Iluminemos de Azul, Apac, la Fundación John Langdon Down o todas las demás asociaciones para personas con discapacidad visual, auditiva, motriz, mental, trastornos y síndromes.",Fabiola Guarneros Saavedra
"Pero y, ¿las autoridades?, ¿las y los diputados y senadores?, ¿los gobernantes?, ¿los partidos políticos? ¿Cuál es su compromiso para hacer realidad la inclusión económica, política y social en México? ¿Por qué se niegan a ver y atender las demandas de casi 21 millones de mexicanas y mexicanos? El 3 de diciembre, ¿seguirá siendo una efeméride más o se pasará a la acción?",Fabiola Guarneros Saavedra
"Por cierto, Yo También –asociación civil que crea contenidos sobre discapacidad, inclusión y accesibilidad–, elaboró un diccionario llamado ¿Cómo se dice? De la A la Z, que es el primero para investigar, escribir y contar historias sobre discapacidad. Se trata de una guía sobre cómo se dice o escribe, pero que, por miedo (o tabú), nunca te animaste a preguntar.",Fabiola Guarneros Saavedra
"La pandemia por covid-19 evidenció las fallas de los sistemas de salud y de educación en México: hospitales y personal médico rebasado, instalaciones mermadas, sin equipo, desabasto de medicamentos, muertes; cierre de escuelas, deserción escolar, analfabetismo digital y desigualdad en el acceso a internet, así como a las nuevas tecnologías de información.",Fabiola Guarneros Saavedra
"Cuando se levantó la encuesta —de mayo a julio de este año—, 80% del profesorado daba clases a distancia y uno de los principales motivos de ausencia fue por “fatiga significativa”, trastornos del sueño, depresión y migrañas. 37% consideró bastante estresante su trabajo desde el inicio del año escolar, 34% moderadamente estresante y 4% lo consideró nada estresante.",Fabiola Guarneros Saavedra
"“La pandemia muestra que la vocación y el compromiso del personal de la educación son activos que hay que cuidar. Su salud y bienestar son fundamentales para garantizar una educación de calidad”, considera el Barómetro Internacional de la Salud y del Bienestar del Personal de la Educación, y creo que en esto todos deberíamos estar de acuerdo.",Fabiola Guarneros Saavedra
"Helena fue trasladada a los “separos”, donde permaneció una noche y la liberaron al día siguiente, por falta de pruebas. Sin embargo, la investigación quedó abierta sin que ella lo supiera; tres años después (2012) se giró una orden de aprehensión en su contra. Fue sujeta a un proceso penal acusada de haberse provocado un aborto con pastillas.",Fabiola Guarneros Saavedra
"Como Helena hay muchas mujeres que son inculpadas por el delito de aborto en México y se enfrentan a irregularidades y violaciones del debido proceso y de la presunción de inocencia, “ya que las autoridades suelen basarse únicamente en pruebas como la confesión, que suele obtenerse en contextos de intimidación y coacción”, dice el informe de GIRE.",Fabiola Guarneros Saavedra
"Chiapas, 2018. Jessica nació con parálisis cerebral y tiene limitaciones para ejercer actividades esenciales de la vida diaria, situación que se ve agravada por su precario entorno económico. En 2018, a consecuencia de una crisis convulsiva, su familia la llevó al Hospital General de Tapachula, en donde personal médico les informó que estaba embarazada.",Fabiola Guarneros Saavedra
"Al INE tampoco le aprobaron el presupuesto que solicitó para que el próximo año pueda cumplir con la organización de la consulta para la revocación de mandato y, peor aún, le disminuyeron cuatro mil 913 millones de pesos. El recorte implica eliminar todo el presupuesto para ese ejercicio (tres mil 800 millones de pesos) y mil millones más.",Fabiola Guarneros Saavedra
"El argumento del gobierno federal —secundado por sus legisladores— fue que el INE sí dispone de ese dinero y que lo tiene en algunos fideicomisos, pero esos recursos de aproximadamente mil 353 millones de pesos ya están comprometidos en pasivos laborales, programa de retiro voluntario, infraestructura inmobiliaria y mejoramiento de módulos de atención ciudadana.",Fabiola Guarneros Saavedra
"El bloque mayoritario de legisladores se negó a aumentar recursos para la adquisición de tratamientos para los niños con cáncer, a establecer reglas claras en lo referente a la operación del Insabi y rechazó el restablecimiento del Seguro Popular. Esa petición la asocian a los padres de niños con cáncer, a quienes Hugo López-Gatell llamó mentirosos y golpistas.",Fabiola Guarneros Saavedra
"El próximo año serán insuficiente los fondos para la seguridad municipal e infraestructura de los gobiernos locales, pero el Ejecutivo federal tendrá una ampliación de 41 mil millones de pesos para gastos operativos en el ramo administrativo de las secretarías de Estado y los programas prioritarios de la 4T recibirán 469 mil 523 millones de pesos. El que paga manda…",Fabiola Guarneros Saavedra
"Quiere una vida mejor para su hija y para ella, sin gritos, sin adicciones; superar la pobreza y poder ir a la universidad. No es fácil, Alex se enfrenta a un sistema de asistencia gubernamental burocrático, a leyes que no reconocen los otros tipos de violencia, a familiares y amigos que justifican el alcoholismo y conducta de su pareja.",Fabiola Guarneros Saavedra
"La Conavim ha atendido de manera directa a 594 víctimas y sobrevivientes de violencia, más de la mitad por violencia sexual y física; 34 casos de feminicidio y 7 tentativas de feminicidio. Conoció de dos feminicidios infantiles (las víctimas tenían 1 y 2 años de edad),  ambos casos por agresión sexual, uno a manos del padre biológico y el otro, de un tío.",Fabiola Guarneros Saavedra
"Escombrar los rincones de la justicia y la administración pública para romper ese pacto patriarcal que impide reconocer como válida la lucha feminista, que la justicia se ejerza con perspectiva de género, que los gobiernos destinen mayor presupuesto a combatir la violencia contra las mujeres y que obstruye el apoyo y promoción de los refugios de mujeres violentadas.",Fabiola Guarneros Saavedra
"Esto sucede en por lo menos 66 comunidades del municipio de Metlatónoc, Guerrero. Ahí, cuatro de cada diez niñas son vendidas para casarse con hombres adultos, el precio va desde 30 hasta 180 mil pesos. Pero también son forzadas las niñas de comunidades indígenas, rurales y marginadas de Chiapas, Veracruz, Oaxaca, la Sierra Norte de Puebla y en la Sierra Negra de Querétaro.",Fabiola Guarneros Saavedra
"No hay proyecto de nación, lo que existe es una ofensiva del Ejecutivo para imponer su hegemonía interviniendo en las elecciones, pasando sobre la división de poderes, desmontando avances democráticos, acosando opositores, descalificando a la prensa libre y empoderando a las fuerzas armadas. Dicho de otra manera, el poder es el proyecto.",Fernando Belaunzaran
"Su esfuerzo será en vano porque, a pesar de que tiene el megáfono más grande, no juega solo la partida y él mismo se encargó de colocarse en el centro del conflicto. Los colectivos no van a soltar el tema del presunto violador postulado por el partido oficial y seguirá presente durante toda la campaña, es el talón de Aquiles más notorio del régimen y de quien lo encabeza.",Fernando Belaunzaran
"La muralla rompe por el centro su narrativa, misma que le es tan importante que la reitera cada mañana. Quien se jacta de representar al pueblo y codearse con los más humildes, colocó una barrera infranqueable que lo aleja de quienes protestan, un potente y ominoso golpe visual que recicla el sobado dicho salinista: “ni las veo, ni las oigo”.",Fernando Belaunzaran
"Los populismos del siglo XXI ven los procesos electorales como una lucha entre adversarios irreconciliables, donde vencer significa no sólo gobernar, sino también convertir a la oposición en marginal e irrelevante; es la guerra por otros medios, pero con consecuencias similares. No en balde hablan de “revolución pacífica” y niegan toda legitimidad a quienes disienten.",Fernando Belaunzaran
"Mientras operadores electorales reparten programas sociales de transferencias en efectivo a millones de ciudadanos, y hasta se les incluyó en el plan de vacunación, el Presidente que interviene cada mañana en el proceso electoral convoca a los demás gobernantes a comprometerse a no usar recursos públicos en las campañas. El chiste se cuenta solo.",Fernando Belaunzaran
"Lo que estamos viendo es tan sólo el entremés. Los meses que vienen serán judicialmente más intensos, pues el objetivo del oficialismo es que los ciudadanos no los castiguen por la falta de resultados, sino que culpen de los problemas a sus adversarios, usando facciosamente al Ministerio Público. Para ellos, el fin justifica los medios.",Fernando Belaunzaran
Andrés Manuel López Obrador se metió solo al callejón en el que está. El principio de autoridad resultó más importante para él que su conocido pragmatismo electoral. Prefiere aguantar el vendaval que admitir un error y rectificar. Considera debilidad cambiar por presión social y le preocupa el precedente de ceder ante la opinión pública.,Fernando Belaunzaran
"Por eso sostiene a Hugo López-Gatell, a pesar del desastre sanitario frente a la pandemia, y a Félix Salgado Macedonio no obstante el elevado costo que está pagando. Su voluntad es irreductible e ilimitada, su palabra es la ley. Pero hoy está en jaque el rey por no entender que no entiende y su obstinación le está saliendo muy cara.",Fernando Belaunzaran
La confusión y el azoro provienen de dar por sentado que el gobierno quiere lo que la población espera de cualquier administración: que contribuya a mejorar su calidad de vida y enfrentar los inconvenientes cotidianos. Pero quien hoy lo encabeza tiene otros planes más ambiciosos que no siempre se compaginan con dichas necesidades efímeras y terrenales.,Fernando Belaunzaran
"Es cierto que el actual gobierno se parece a los anteriores en vicios y fallas, pero es distinto en los objetivos. No es lo mismo tener como prioridad resolver problemas para mejorar las condiciones económicas y sociales del país que pretender ser, en sí, el acontecimiento histórico que marque un antes y un después en el devenir de la República.",Fernando Belaunzaran
"El cambio de era que presumen los nuevos empoderados es de ruptura con la transición que abrió paso a las alternancias, buscando retornar a un régimen centralizado y vertical comandado por el caudillo que necesita prevalecer indefinidamente para garantizarse la inmortalidad heroica que sueña para sí. La historia, sobre todo la de bronce, la escriben los ganadores.",Fernando Belaunzaran
"Nunca hay errores, los señalamientos son expresiones interesadas de adversarios molestos por haber sido desplazados y responden a la época electoral. La verdad se decide por autoridad moral autoasignada y se sabe de antemano que quien disiente está descalificado de entrada por carecer de ella, pues la inmoralidad se acredita al pensar distinto que el líder.",Fernando Belaunzaran
"El libro de Laurie Ann Ximénez-Fyvie (Un daño irreparable, Planeta 2021) da cuenta de la secuencia de trágicos errores, como minimizar la peligrosidad del virus, hacer pocas pruebas, establecer el modelo Centinela, apostar por la inmunidad de rebaño, despreciar el cubrebocas, etc. Y todo por subordinar el conocimiento a los deseos políticos del Presidente.",Fernando Belaunzaran
"Es pueril pretender calar con provocaciones a un político con la experiencia de Joe Biden, quien sabe cuidar las formas diplomáticas. Lo único que necesita para apretar a la administración obradorista es demandar el cumplimiento de tratados, convenios y contratos firmados por el Estado mexicano, algo que puede hacerse de manera discreta y sin alzar la voz.",Fernando Belaunzaran
"No es sólo la comunicación presidencial de cada mañana cumpliendo funciones de ariete electoral, no obstante la prohibición expresa del artículo 134 de la Constitución mexicana, el presupuesto de egresos aprobado es groseramente electoral cuando la situación económica requería uno muy distinto. Se trata de asegurar el timón, aun a costa de hundir el barco.",Fernando Belaunzaran
"La respuesta se quedó corta y eso es tan preocupante e inadmisible como el hecho mismo. El atentado contra el exgobernador de Jalisco, Aristóteles Sandoval, pone a prueba al Estado mexicano, pues la afrenta es contra éste y las consecuencias de no actuar con la fuerza y la eficacia que exige la situación serían profundas, duraderas e ignominiosas.",Fernando Belaunzaran
Eso contribuiría a dar respuesta a críticas legítimas y contrarrestar la estrategia oficial que quiere presentar a la coalición opositora como un intento de regresar al pasado reciente y recuperar privilegios perdidos. La mejor vacuna frente a ello es mostrar visión de futuro y retomar la expertise de la sociedad civil para plantear soluciones serias a los graves problemas.,Fernando Belaunzaran
"Decisiones insólitas para tiempos inéditos. Si lo impensable está sucediendo es porque el escenario lo amerita. México vive momentos críticos, los daños son mayores y de no actuar en consecuencia pudieran volverse irreversibles durante un largo y oscuro periodo. No se puede actuar como si existiera normalidad democrática cuando de ésta sólo queda un remedo.",Fernando Belaunzaran
"López Obrador reta abiertamente al INE, desobedeciendo las medidas cautelares que le impusieron e insiste en intervenir en las elecciones. No deja de hacer propaganda electoral en sus conferencias y eventos oficiales, violando una disposición constitucional que se estableció después de que él denunciara a Vicente Fox y lo llamara “chachalaca” por haber hecho eso mismo en 2006.",Fernando Belaunzaran
"Mención aparte merecen los programas sociales que manejan miles de millones de pesos en efectivo, son entregados en la opacidad y sin reglas de operación a nombre del titular del Ejecutivo por quienes hicieron campaña domiciliaria por él en 2018 y que son coordinados por los superdelegados, muchos de los cuales pidieron licencia para ser candidatos.",Fernando Belaunzaran
"En los próximos comicios también se juegan las reglas del juego. López Obrador se sirvió de las reformas democráticas para llegar a la presidencia, pero ahora le estorban porque quiere imponer la hegemonía estructural de su grupo político desde el poder. Sólo la oposición unida puede enfrentar con éxito esa perniciosa amenaza.",Fernando Belaunzaran
"No es nuevo que el grupo en el poder utilice la procuración de justicia como arma política, pero sí que lo presuma como una práctica virtuosa que confirma la nueva era prometida. Combatir al crimen organizado puede esperar, la prioridad es identificar a la oposición con el pasado corrupto y distraer a la población de los grandes problemas.",Fernando Belaunzaran
"En ese contexto no extraña que Rosario Robles haya decidido “colaborar” con la fiscalía. La tuvieron un año y tres meses encarcelada por un delito que no amerita prisión oficiosa y después de las acusaciones que con el método señalado hiciera su otrora subordinado, Emilio Zebadúa, la pusieron en el dilema de eternizarse en la cárcel o complacer a sus carceleros.",Fernando Belaunzaran
"Donald Trump ayudó a su amigo López Obrador a apaciguar el malestar en el Ejército, pilar de su gestión. Ya no sabremos si la acusación al general tenía bases, pues si su liberación allá fue política, acá la impartición de justicia sigue siéndolo y, a últimas fechas, de manera por demás grosera. Lo trajeron de la arbitrariedad a la impunidad.",Fernando Belaunzaran
"El dolor por la ausencia repentina de tantos seres queridos es inenarrable y se siguen haciendo pocas pruebas. Bueno, ni siquiera promueven el uso obligatorio del cubrebocas porque al Presidente le recuerda lo que hizo Felipe Calderón cuando el A(H1N1). La tragedia no ha terminado y, lo peor, las lecciones no han sido aprendidas por las autoridades responsables.",Fernando Belaunzaran
"En estos tiempos extraordinarios, ser liberal no es asunto de concepciones, sino de lealtades. Ahora lo es aquel que respalde al Presidente, incluso cuando cita la Biblia para defender políticas públicas, ningunea las causas progresistas, promueve una Constitución Moral o cambia de opinión porque la verdad será muy única, pero es tan dinámica como su criterio.",Fernando Belaunzaran
"Frente a la mayor crisis del país en un siglo, Andrés Manuel López Obrador decidió no convocar a la unidad para enfrentar juntos los graves problemas. Su prioridad es otra: usar su poder reconcentrado para hacerse de más poder y eso requiere borrar a la oposición electoralmente. A eso responde el Presupuesto de Egresos de la Federación impuesto por Morena.",Fernando Belaunzaran
"Entre las muchas realidades paralelas que escuchamos del Presidente, la de insistir en que su homólogo Donald Trump “nos ha tratado con respeto” resulta por demás desafortunada porque se desmiente con la experiencia cotidiana. La única forma en la que tal afirmación podría ser creíble es cambiándola del plural al singular y aun así sería cuestionable.",Fernando Belaunzaran
"Lo que puede agradecer, en todo caso, es que Donald Trump no se haya metido en lo que de por sí no le interesa: energías limpias y calentamiento global, derechos humanos y libertad de expresión, democracia y Estado de derecho. Eso explicaría su comodidad con el poderoso vecino al que, como candidato, había prometido confrontar.",Fernando Belaunzaran
"El caso es que el Presidente mexicano no sólo aceptó todas las condiciones migratorias de la Casa Blanca, fue allá a hacer campaña por Trump en su única gira internacional y ahora le da aliento a la negativa de aceptar su derrota, negándose a felicitar a Joe Biden y Kamala Harris hasta que se agoten los procesos legales. Todo mal.",Fernando Belaunzaran
"Pocas causas tan populares como enfrentar a quien cultiva a sus bases promoviendo la hostilidad contra nuestros paisanos y otras minorías raciales. Pero al igual que como aconteció con Peña Nieto, pesó más el interés de tener un confidente en Washington que no se preocupe por la corrupción, los derechos humanos o la degradación de la democracia de este lado del Río Bravo.",Fernando Belaunzaran
"No hace mucho, López Obrador se quejó, con razón, de que lo tildaran de comunista, pero cayó en lo mismo al comparar la iniciativa Sí por México con Pinochet por el pueril descubrimiento de que aquel Sí se parece a otro Sí de un cartel del referéndum que terminó con la dictadura, sin detenerse en que lo mismo podría decirse de la propaganda que él usó con el mismo monosílabo.",Fernando Belaunzaran
"El mandato fue el cambio, pero lo que continúa es el deterioro. No sólo empeoran los problemas y la descomposición institucional se ha agudizado, el debate nacional es asfixiado por la polarización, el exceso de adjetivos dirigidos a las personas y la falta de argumentos y datos corroborables por parte del poder público.",Fernando Belaunzaran
"Pero no basta con señalar las fallas del gobierno, ni ser reactivos a las ocurrencias, caprichos y arrebatos del presidente Andrés Manuel López Obrador. Es necesario construir una alternativa que mire hacia el futuro, haciéndose cargo de que los partidos que deberían enarbolarla son insuficientes para cumplir el cometido.",Fernando Belaunzaran
"Recuperar al Congreso como contrapeso es fundamental, pero para eso los partidos de oposición deberán abrirse a los ciudadanos y atender el llamado de unidad que estos les hacen. Sólo con generosidad y altura de miras podrán recuperar credibilidad y ser vistos como instrumentos de la sociedad. Ojalá lo entiendan pronto. El tiempo apremia.",Fernando Belaunzaran
"Enmendar la plana es mal consuelo. Lo que se espera de la Suprema Corte de Justicia de la Nación es que haga prevalecer la Constitución como guía y límite del poder político, salvaguardando derechos y evitando arbitrariedades. Eludir la confrontación con el Ejecutivo, faltando a su responsabilidad, no es ningún triunfo, es una claudicación.",Fernando Belaunzaran
"Es cierto que la Constitución establece la fecha de la consulta en agosto, pero la austeridad será la espada para poderla violar, pues argumentará, no sin razón, que juntarla con los comicios significaría un ahorro de ocho mil millones de pesos. ¿Alguien duda que el Tribunal Electoral del Poder Judicial de la Federación le hará el favor?",Fernando Belaunzaran
"También es verdad que la Carta Magna dice que el INE es el único que puede promover la consulta, pero ya dijo el Presidente que, como la pregunta es confusa y abigarrada, habrá que informar “muy bien” que el SÍ significa juzgar a los expresidentes. Es el aviso de lo que hará la potente maquinaria de propaganda que tiene a su servicio.",Fernando Belaunzaran
"El rumbo es incierto y nebuloso, pero los enemigos claros y notorios. No sabemos hacia dónde vamos, pero sí a quiénes se combate. La transformación anunciada es condicionada a la derrota total de la oposición, antes de establecer el punto de llegada y procesar con ella objetivos compartidos para transitar sin someter. Eso es revelador de lo que realmente se busca.",Fernando Belaunzaran
"Fuera de la demagogia oficial no estamos ante una política económica distinta, aunque se hayan tomado decisiones desafortunadas, la ineptitud cobre facturas y en materia energética se desempolve un nacionalismo trasnochado para favorecer el monopolismo de Estado y justificar el despropósito de generar electricidad con carbón y combustóleo.",Fernando Belaunzaran
"En una aclaración Márquez Montes a la letra dice: “Como funcionario de la Secretaría de Gobernación mis responsabilidades incluían el mantener comunicación plural con los distintos actores políticos, sociales e institucionales del país... Fue en ese marco que durante los cinco años y dos meses que laboré en la Segob, sostuve encuentros con Santiago Nieto Castillo”.",Francisco Zea
"Por lo anterior, debe quedar claro que dentro de sus responsabilidades, no tiene nada que hacer el oficial mayor, en un encuentro con el fiscal de la Fepade. Su aclaración al TWSJ es más bien una explicación de cómo un funcionario se convierte en un alfil de su jefe, Miguel Osorio. Pues un oficial mayor no tiene nada que ver en reunirse con el fiscal electoral.",Francisco Zea
"Por otro lado, preocupante es que en este país la política sea un deporte de alto riesgo. Según la OEA en México en este periodo han asesinado a un candidato cada cinco días. Hablamos de toda la geografía nacional. Es un atentado real a la democracia, algo de verdad peligroso. Es la real incursión del crimen organizado en la vida del país.",Francisco Zea
"Qué maravilla es poder estar sólo pensando en la siguiente aventura, en el siguiente triunfo. Gracias a Mario Pintos por compartir su pasión y angustia. Gracias a Pancho Domínguez por rifarse y ser un gobernador que privilegia a su gente y no la grilla. Gracias a Carlos Garrido por ser el enlace entre los queretanos y el mundo.",Francisco Zea
No se puede acabar con la impunidad solapándola. No se puede acabar con la  violencia si se piden disculpas cuando se aplica la ley. Creo que los tiempos de ser políticamente correcto se agotaron. El país está de por medio. Me refiero a los dos muertos derivados de las peleas por la distribución de droga el 24 de febrero.,Francisco Zea
"Si piensan acabar con la impunidad y la violencia y regresarle a los mexicanos la tranquilidad que se ha perdido, si quieren las autoridades devolverle al ciudadano la confianza en ellas, deben de empezar por aplicar la ley y no estar pidiendo disculpas por cumplirla y nadie debe reclamar para su institución un estado de excepción.",Francisco Zea
"Resulta paradójico que tengamos que entender lo que va a pasar en nuestro país en función del desarrollo tecnológico. Como en su momento, en la campaña por la Presidencia de Estados Unidos, el equipo de Clinton descubrió que el tema principal era “la economía, estúpidos” hoy tenemos que reconocer que es “la tecnología, idiotas”.",Francisco Zea
"El día de hoy ya tenemos candidatos de las tres principales coaliciones a la Presidencia de la República. Agotado el periodo de precampañas, una farsa y un robo a los ciudadanos, de miles de horas de anuncios, dirigidos a los “militantes”, lo que ya sabíamos se confirmó. Andrés Manuel López Obrador, José Antonio Meade y Ricardo Anaya pelearán por la Presidencia.",Francisco Zea
"En este período, que nuestra absurda ley electoral denomina “intercampaña”, en donde no puede existir ni propuesta ni promoción, entra la “dimensión desconocida”, se escucha la clásica música del “turu-ruru-turu-ruru”, los candidatos, sus propuestas y los problemas del país, desaparecen abducidos por las fuerzas desconocidas.",Francisco Zea
"Creo que, además, podría colaborar el sentarnos y dialogar para descubrir qué somos y a dónde vamos. Nos hace falta un ejercicio interesante de coordinar y de pensarnos en el futuro. Sin tapujos, sin hipocresía y, sobre todo, alejado de intereses mezquinos. Necesitamos repensar a este México, lejos del apetito de los políticos que le dan en la madre a todo.",Francisco Zea
"Luego entonces, el reto de quien llegue a colocarse la banda presidencial no es meter a la cárcel a los corruptos ni siquiera acabar con el crimen organizado. Es cambiar de tajo la forma de pensar y de actuar de millones de mexicanos, que en algún momento se extraviaron y piensan que este México no tiene ley y les permite pasar encima de todo y de todos a su antojo.",Francisco Zea
